id,rg,io,mass,N
SASDGP8,6.017,0.35,NA,303
SASDGQ8,6.105,0.35,NA,303
SASDGR8,6.045,0.73,NA,303
SASDGS8,5.652,0.48,NA,303
SASDGT8,5.808,0.44,NA,303
SASDGU8,5.994,0.43,NA,303
SASDGV8,6.042,0.43,NA,303
SASDGW8,3.054,0.2147,NA,195
SASDGX8,2.817,0.13,NA,195
SASDGY8,2.589,0.093,NA,195
SASDGZ8,2.468,0.081,NA,195
SASDG29,2.433,0.081,NA,195
SASDG39,6.17,0.46,NA,303
SASDG49,6.14,0.44,NA,303
SASDG59,6.178,0.46,NA,303
SASDG69,6.158,0.34,NA,303
SASDG79,6.075,0.43,NA,303
SASDG89,2.416,0.078,NA,195
SASDG99,5.775,0.22,NA,303
SASDGA9,6.106,0.32,NA,303
SASDGB9,5.142,0.28,NA,303
SASDGC9,5.818,0.24,NA,303
SASDGD9,6.088,0.23,NA,303
SASDGE9,5.125,0.28,NA,303
SASDGF9,5.9,0.22,NA,303
SASDGG9,6.192,0.27,NA,303
SASDGH9,5.557,0.23,NA,303
SASDGJ9,5.948,0.22,NA,303
SASDGK9,6.359,0.27,NA,303
SASDGL9,5.336,0.23,NA,303
SASDGM9,5.813,0.19,NA,303
SASDGN9,5.696,0.1766,NA,15
SASDGP9,5.368,0.2038,NA,303
SASDGQ9,2.325,0.051,NA,195
SASDGR9,4.178,0.069,NA,15
SASDGS9,2.374,0.047,NA,195
SASDGT9,2.691,0.088,NA,15
SASDHD2,3.303,0.084,225,302
SASDJK4,5.11,45.98,262,356
SASDJL4,7.48,17.82,898,347
SASDJM4,3.42,30108,132,771
SASDJN4,3.46,28300,101,771
SASDJM7,5.35,181938,177,130
SASDJN7,6.36,102961,1100,130
SASDJP7,7.05,101892,950,466
SASDMC2,1.322,244.306,NA,133
SASDMD2,1.396,122.992,NA,133
SASDME2,1.418,85.3575,NA,133
SASDMF2,1.44,42.5612,NA,133
SASDMG2,1.454,17.6212,NA,133
SASDMH2,1.397,247.362,NA,133
SASDMJ2,1.398,247.362,NA,133
SASDMK2,1.389,247.295,NA,133
SASDML2,1.398,247.362,NA,133
SASDGW5,2.72,1.74,11.7,563
SASDGZ5,3.18,2.25,NA,538
SASDBL9,2.68,51460,55.03,168
SASDBM9,2.08,69307,45.58,165
SASDBN9,4.04,72749,115.26,190
SASDCQ8,2.83,815763,NA,597
SASDCR8,2.74,1524400,NA,400
SASDCS8,1.34,1198940,NA,107
SASDDW9,4.4,9.11,132,354
SASDDX9,3.95,8.29,99,354
SASDEL7,3.93,167.68,304,984
SASDEM7,3.96,138.06,315,984
SASDEN7,3.95,168.9,309,984
SASDEA8,3.74,89.22,119,623
SASDGZ9,2.95,29.8,98,618
SASDH22,3.16,30.83,88,618
SASDH32,2.97,29.83,85,618
SASDH42,1.42,8.55,5.8,76
SASDH52,1.86,7.61,20,147
SASDB85,1.7,0.14,20.5,183
SASDCD8,6.27,51179.7,NA,178
SASDCE8,4.03,8102.35,NA,510
SASDCF8,2.74,44.66,NA,595
SASDCG8,1.9,4058.71,NA,265
SASDCH8,1.21,11681.1,NA,106
SASDCJ8,3.23,7954.08,NA,395
SASDCK8,1.41,648.36,NA,133
SASDCL8,1.6,1068.23,NA,223
SASDEP3,6.54,10367.8,NA,834
SASDEQ3,5.89,8043.92,NA,834
SASDER3,5.92,7557.4,NA,834
SASDET3,4.51,8876.33,245,432
SASDEU3,7.63,1734.36,778.34,834
SASDEV3,4.63,1322.06,230,834
SASDJ93,2.14,1228.59,45,282
SASDJA3,2.31,1752.52,58,282
SASDJB3,2.51,1420.01,68,287
SASDJC3,2.83,8252.23,97,287
SASDJD3,2.88,15964,111,287
SASDJE3,2.8,22946.7,116,287
SASDL33,3.842,0.443329,274,321
SASDL43,3.827,0.447352,279,321
SASDL53,3.812,0.210116,235,321
SASDL63,4.021,0.217971,225,321
SASDLF9,3.351,0.00934011,38,133
SASDGG6,2.83,0.0028,73.52,310
SASDGH6,2.87,0.0049,81.6,310
SASDGJ6,3.17,0.17,107.9,310
SASDGK6,3.07,0.063,103.55,310
SASDGL6,3,0.54,96.8,310
SASDGM6,2.94,0.075,94.09,310
SASDKZ8,3.4,38.272,NA,475
SASDK29,3.83,69.7727,NA,475
SASDK39,3.81,39.9014,NA,475
SASDK49,4.254,53.4863,NA,475
SASDK59,2.88,10.8575,20,90
SASDK69,3.58,67.4256,NA,297
SASDK79,3.74,74.5182,NA,297
SASDK89,4.24,96.4457,NA,297
SASDK99,4.086,11.2348,NA,468
SASDKA9,4.31,11.7984,NA,468
SASDKB9,4.63,13.9482,NA,468
SASDKC9,4.423,73.8754,NA,552
SASDKD9,3.68,32.447,45,134
SASDKE9,3.319,45.0074,80,406
SASDKF9,2.454,35.6554,54,284
SASDKG9,2.148,24.3512,NA,243
SASDKH9,1.6,12.8498,24,134
SASDL42,3.698,1131740,111,767
SASDL52,3.68,597453,138,758
SASDLA2,5.106,137.827,NA,475
SASDLB2,5.159,128.397,NA,475
SASDLC2,5.251,133.739,NA,475
SASDL73,2.897,0.0225338,NA,310
SASDL83,3.025,0.0242339,NA,310
SASDL93,3.112,0.0258974,NA,310
SASDLA3,3.06,0.026761,100,310
SASDLB3,3.116,0.0279841,103,310
SASDLC3,3.11,0.0266646,103.5,310
SASDLD3,3.101,0.0268179,106,310
SASDLE3,3.19,0.0301057,111,310
SASDM82,1.48,0.00358935,15.97,83
SASDQ85,2.016,16.4731,58,313
SASDLG9,6.272,0.275718,524,182
SASDLH9,3.067,0.129172,20,122
SASDLJ9,2.542,0.0199877,12,62
SASDK74,1.927,0.0146595,44,98
SASDK84,4.4,17159,168,215
SASDKF6,3.13,0.0711987,59,297
SASDKG6,4.217,0.0451583,138,650
SASDKJ9,2.792,0.00871327,50,297
SASDKK9,2.872,0.0164943,54,297
SASDJD2,2.12,0.04479,33,45
SASDL97,4.685,0.362172,153.71,309
SASDLA7,5.161,0.564646,234.44,309
SASDKL9,5.868,0.150754,559,3335
SASDKM9,5.852,0.0918094,565,3335
SASDKN9,5.87,0.174527,557,3335
SASDKP9,5.838,0.136374,560,3335
SASDMM2,6.657,0.101383,500,598
SASDMY3,38.397,36845500,NA,129
SASDM44,22.305,31589000,NA,129
SASDM54,22.537,191333000,NA,129
SASDM64,23.642,150273000,NA,129
SASDM74,30.97,73689100,NA,129
SASDLQ2,3.443,4.65245,211,324
SASDLR2,3.378,4.00262,244,324
SASDLS2,3.64,4.46532,223,324
SASDJW3,4.67,0.1287,546,222
SASDJX3,3.055,0.04893,49,190
SASDJ38,7.41,0.07043,375,1082
SASDJ48,8.12,0.12,430,1082
SASDJ58,8.92,0.2733,505,1082
SASDJ68,9.64,0.68,715,1082
SASDJ78,10.2,1.55,900,1082
SASDJ88,3.27,0.02985,26,190
SASDJ98,3.15,0.05722,31,190
SASDJA8,3.13,0.1133,34,190
SASDJB8,3.17,0.22,66,190
SASDJC8,2.27,0.02198,51,222
SASDJD8,2.26,0.04447,56,222
SASDJE8,2.33,0.08884,59,222
SASDJF8,2.41,0.1806,61,222
SASDJG8,10.53,0.04704,1000,1777
SASDKA6,3.35,6972.66,92.65,214
SASDKB6,3.4,7182.23,96.14,214
SASDKC6,3.24,6841.06,91.07,214
SASDL82,3.888,1704.63,162,550
SASDL92,3.422,603.83,142,550
SASDL26,2.53,0.116251,41,273
SASDL36,2.711,0.112142,40,273
SASDLZ2,6.994,0.999638,267,1460
SASDL23,7.067,0.987624,294,1460
SASDLT3,4.292,0.0366353,90,254
SASDL35,6.552,420.898,320,118
SASDL45,6.56,207.285,325,118
SASDL55,6.441,151.93,315,118
SASDL65,6.332,92.9907,315,118
SASDL75,3.909,2236.87,340,35
SASDL85,5.577,7412.81,800,408
SASDL95,7.76,1866.94,2660,253
SASDL46,4.84,0.0849945,NA,250
SASDL56,2.798,0.0638716,NA,250
SASDL69,5.33,0.0432052,NA,290
SASDL79,4.289,0.0289196,NA,184
SASDL89,6.495,0.0458835,NA,403
SASDL99,4.153,0.0206988,NA,202
SASDLA9,5.925,0.00981983,NA,202
SASDJN2,3.16,262,143,630
SASDJP2,2.31,9.5,80,469
SASDJQ2,3.2,235.64,141,630
SASDJR2,6.51,103.9,790,922
SASDJS2,4.51,74.99,211,630
SASDKY6,3.364,0.276037,190,80
SASDHW7,3.47,57.94,161,357
SASDHX7,3.729,49.96,134,357
SASDHY7,3.683,86.95,133,373
SASDHZ7,3.362,63.95,124,373
SASDKL2,3.005,0.0779713,88,275
SASDKS9,4.26,0.051781,183,373
SASDLA5,1.472,0.0362367,17,133
SASDLB5,1.465,0.0333989,17,132
SASDLC5,1.465,0.0361623,16,133
SASDLD5,1.463,0.0315453,17,133
SASDLU3,2.747,63.8381,NA,701
SASDLV3,2.797,37.6669,NA,701
SASDLW3,2.764,50.2936,NA,701
SASDLX3,2.78,40.6626,NA,701
SASDLY3,2.773,2726.99,NA,701
SASDLZ3,2.773,2726.99,NA,701
SASDL24,2.848,2810.76,NA,701
SASDL34,2.857,2786.68,NA,701
SASDL44,2.81,2891.17,NA,701
SASDL54,2.912,2921.8,NA,701
SASDL64,2.937,2811.13,NA,701
SASDL74,2.94,2863.55,NA,701
SASDL84,2.885,44.607,NA,701
SASDL94,2.88,142.639,NA,701
SASDLA4,2.82,170.316,NA,701
SASDLC4,2.838,2786.13,NA,701
SASDLD4,2.81,138.346,NA,701
SASDLE4,2.82,181.602,NA,701
SASDGP5,2.7,0.0059,26,167
SASDGQ5,4.64,0.278,585,488
SASDGR5,4.99,0.329,670,488
SASDKD8,3.105,0.12989,66.8,247
SASDKE8,2.962,0.0272428,45,247
SASDKH6,3.213,0.641411,NA,588
SASDKJ6,3.726,0.693528,NA,588
SASDKK6,2.594,0.116782,NA,588
SASDKL6,3.411,0.224354,NA,563
SASDKM6,2.384,0.100296,NA,588
SASDKN6,3.182,0.073014,NA,563
SASDL62,2.41,4950.93,41,284
SASDL72,2.27,3777.33,37,293
SASDKZ6,4.823,0.142879,NA,250
SASDK27,8.991,0.128429,NA,250
SASDK37,7.058,1.07288,NA,250
SASDK47,9.893,1.68054,NA,250
SASDK57,9.281,2.3604,NA,250
SASDK67,8.914,3.18893,NA,250
SASDK48,2.769,66.9335,85,228
SASDK58,4.631,197.551,378,274
SASDK24,2.08,21.8607,47,104
SASDJS5,3.77,0.05725,160,632
SASDJT5,4.97,0.1074,516,632
SASDEU5,2.43,42815,68.7,334
SASDEC6,2.37,599573,94.26,334
SASDG65,2.73,51634,68,336
SASDJK3,7.66,0.646,NA,1499
SASDJL3,6.73,0.78,NA,1499
SASDJM3,6.64,0.462,NA,254
SASDJN3,7.61,0.548,NA,1499
SASDJP3,6.56,0.5,NA,1499
SASDJQ3,6.59,0.808,NA,254
SASDLJ3,4.09,0.0495963,170,834
SASDLK3,4.1,0.042232,224,795
SASDLL3,4.08,0.0507957,175,795
SASDJJ6,3.45,0.0082,45.7,191
SASDJK6,3.86,22.02,66.4,209
SASDJL6,6.7,0.17,214.3,476
SASDJM6,5.33,13036.2,172,926
SASDJN6,7.6,14343.4,371.1,476
SASDJP6,5.75,14050,241.8,209
SASDJ85,2.74,0.00593,50,166
SASDKQ9,2.7,73.3328,56,172
SASDKR9,3.9,172.537,165,172
SASDKA2,2.976,0.0405535,NA,230
SASDKB2,2.976,0.0405535,NA,230
SASDKC2,2.94,0.0404135,NA,237
SASDKD2,3.106,0.0407234,NA,237
SASDKE2,3.09,0.0416114,NA,239
SASDK76,2.249,15.2665,56,320
SASDHV9,2.78,0.0099,43,214
SASDKW8,4.196,0.0279206,90,544
SASDKM8,2.45,0.0590013,30,103
SASDKN8,4.09,0.0793525,60,103
SASDKP8,5.25,0.0502668,120,103
SASDKQ8,2.5,0.0482185,30,104
SASDKR8,4.42,0.097197,88,103
SASDKT8,3.08,0.0446085,28,105
SASDKU8,3.04,0.0192789,27,105
SASDKV8,4.38,8687.68,170,105
SASDKZ4,8.415,86.6974,NA,157
SASDK25,8.325,18.3061,NA,157
SASDK35,8.215,43.7778,NA,157
SASDK45,8.098,85.4827,NA,157
SASDK55,8.008,39.7034,NA,157
SASDK65,8.071,18.258,NA,157
SASDK75,7.054,9.77016,NA,157
SASDK85,7.925,154.084,NA,157
SASDK95,8.019,38.8792,NA,157
SASDKA5,8.043,76.907,NA,157
SASDKB5,7.937,156.714,NA,157
SASDKC5,7.579,70.2366,NA,157
SASDKD5,7.532,38.3063,NA,157
SASDKE5,6.285,14.1671,NA,157
SASDKF5,2.712,26.3504,NA,157
SASDK66,4.759,360.209,386,157
SASDFB7,4.348,0.026,336,504
SASDFC7,4.006,0.015,367,504
SASDHF8,1.428,0.003,2.92,24
SASDHG8,1.476,0.0030706,2.97,24
SASDHH8,1.469,0.00284308,3,24
SASDKF4,3.9,0.236803,314,167
SASDKL4,4.205,132.594,250,325
SASDKM4,3.828,57.4637,213,325
SASDKN4,3.596,20.8506,203,325
SASDKP4,3.385,9.32265,168,325
SASDKY4,3.81,2461.25,277,167
SASDJ64,2.22,0.02576,27.2,153
SASDJ74,1.974,0.00781,27.6,153
SASDKB8,5.124,0.998155,269,690
SASDKC8,5.192,0.99873,271,690
SASDK68,3.74,5995.21,50,165
SASDJM5,3.19,0.051,62,379
SASDJQ5,3.25,0.02573,50,364
SASDJR5,3.53,0.06441,63,364
SASDK42,3.216,0.0308189,64131,364
SASDK92,3.113,107.814,27.82,471
SASDJL7,3.24,0.01688,93,262
SASDFR7,3.602,0.1302,213,386
SASDJU5,4.6,6127,NA,690
SASDJV5,4,34.5,NA,342
SASDJA6,4.79,53183.5,392,1712
SASDKQ2,3.43,0.0342722,158,475
SASDKR2,3.42,0.0932795,164.9,475
SASDKS2,3.43,311.248,170,483
SASDJ55,2.54,0.1365,85,179
SASDJ65,2.49,0.1189,89,179
SASDJ28,2.149,0.025,60,245
SASDHQ9,3.43,87.21,128,275
SASDKG4,2.961,9.30175,109.53,357
SASDKH4,3.113,2.65046,98.6,357
SASDJR8,3.13,5758.7,111,302
SASDJS8,3.07,0.0141485,112.1,302
SASDJT8,2.65,3197.71,71.46,302
SASDJU8,2.53,0.0119876,63,302
SASDJV8,3.07,0.121483,105.75,312
SASDJW8,2.45,0.103258,58.7,312
SASDJX8,3.47,0.0146194,129.5,328
SASDJY8,3.09,0.0138433,120.9,328
SASDJZ8,2.71,0.0119663,69.4,328
SASDJ29,2.46,0.0112077,64.5,328
SASDJ39,2.7,0.053613,72.6,398
SASDKA4,8.1,0.160964,NA,455
SASDKB4,10.2,23462.7,NA,454
SASDKC4,13.077,28764.1,NA,455
SASDJK8,5.6,13.8,380,239
SASDJL8,4.63,13.29,71,240
SASDJM8,4.67,18.23,69,143
SASDJ49,2.884,0.0239675,83.22,205
SASDJ59,2.758,0.0537554,71.72,205
SASDHJ5,3.337,0.077,168,173
SASDHK5,3.341,0.074,164,173
SASDHL5,3.342,0.047,163,173
SASDHM5,3.343,0.045,161,173
SASDHN5,3.332,0.078,171,173
SASDJC5,3.99,0.045,240,207
SASDJD5,3.83,0.1018,244,207
SASDJE5,3.88,0.1319,254,207
SASDJF5,2.12,0.042097,42,203
SASDJ76,3.81,6.73,52.6,326
SASDJ86,3.504,4.23,40.6,326
SASDJD4,2.72,0.1739,68.3,257
SASDJE4,2.68,0.21,49,257
SASDJN5,3.035,0.01157,54,405
SASDJP5,2.931,0.01396,42,301
SASDJN8,4.088,66.22,128,386
SASDJP8,3.58,0.021,93,652
SASDJQ8,4.53,0.12,224,1045
SASDKQ4,7.224,154.181,330,253
SASDKR4,2.209,0.0825871,52,280
SASDJX5,2.217,0.004826,41,166
SASDJ52,5.42,123.84,170,340
SASDJ62,6.33,147.2,330,633
SASDJ72,6.1,169,240,922
SASDJ82,6.2,10009,675,633
SASDK82,3.91,0.106268,134,824
SASDHU4,3.65,53.2,116.82,192
SASDHV4,3.31,29.79,82,305
SASDHW4,3.55,71.28,217,593
SASDHX4,3.85,142.24,217,592
SASDHY4,3.36,134.4,215,584
SASDHZ4,6.04,240.75,683,593
SASDEY6,4.64,49.9,259,834
SASDKJ2,3.41,23565.9,82,360
SASDKK2,3.24,22685.3,78,360
SASDJY3,3.36,0.09655,86,53
SASDJZ3,3.68,0.485,105,53
SASDJ24,4.45,15.078,138,438
SASDJ84,3.08,4210.26,32.36,215
SASDJ94,2.16,3982.28,34,216
SASDGU9,6.99,64.97,681,818
SASDGV9,4.76,78.81,297,618
SASDGW9,4.57,69.03,238,545
SASDGX9,4.42,55.51,150,442
SASDGY9,4.07,44.65,111,618
SASDH89,3.11,28.97,NA,88
SASDJP4,3.188,25.26,146,88
SASDJQ4,3.068,71.53,136,88
SASDJB9,2.126,0.00165521,18.4,82
SASDJC9,3.346,0.00735652,38.7,200
SASDJD9,3.387,0.0100373,39.7,99
SASDJE9,3.383,0.00691184,75.9,126
SASDJR7,3.371,0.171606,198,537
SASDJY7,3.72,0.023,127.07,638
SASDJZ7,4.19,0.019,161.42,694
SASDJQ7,2.56,9453.26,89,250
SASDJG5,2.694,2.03,93,306
SASDJH5,2.394,1.22,54,306
SASDHG6,2.982,20.74,69,281
SASDHH6,3.052,20.82,68,281
SASDHJ6,3.036,20.48,67,281
SASDHK6,2.981,19.83,66,281
SASDHL6,2.938,19.36,65,281
SASDHM6,2.904,18.91,64,281
SASDHN6,2.896,18.64,64,281
SASDHP6,2.88,18.39,63,281
SASDHQ6,2.822,17.96,62,281
SASDHR6,2.81,17.84,62,281
SASDHS6,2.859,17.93,62,281
SASDHT6,2.79,17.55,63,281
SASDHU6,2.795,17.51,60,281
SASDHV6,2.735,17.15,61,281
SASDHW6,2.848,17.63,63,281
SASDHX6,2.758,17.13,61,281
SASDHY6,2.749,17.08,60,281
SASDHZ6,2.723,16.95,60,281
SASDH27,2.805,17.25,63,281
SASDH37,2.742,17,61,281
SASDH47,2.757,17.08,61,281
SASDH57,2.696,16.73,60,281
SASDH67,2.782,17.12,61,281
SASDH77,2.691,16.73,60,281
SASDH87,2.72,16.86,60,281
SASDH97,2.697,16.74,60,281
SASDHA7,2.77,17.07,61,281
SASDHB7,2.69,16.69,61,281
SASDHC7,2.76,16.92,60,281
SASDHD7,2.723,16.81,60,281
SASDHE7,2.725,16.81,61,281
SASDHF7,2.826,17.24,61,281
SASDHG7,2.69,16.68,60,281
SASDJB5,6.17,69.62,210,422
SASDJF4,2.09,1915.57,22,144
SASDJG4,2.97,3062.64,64,261
SASDJH4,3.53,0.053,87,144
SASDFN8,5.35,50957.8,679,179
SASDFP8,1.82,7753.8,36.7,268
SASDFQ8,2.76,15415.7,98.4,601
SASDFR8,3.95,12356,211,601
SASDFS8,3.34,31144.3,201,358
SASDF99,2.79,4502.3,95,601
SASDJ43,3.559,0.154,75,421
SASDJ53,4.19,0.0796,84,543
SASDJ92,7.02,90.69,NA,699
SASDJA2,10.66,5593.49,NA,850
SASDHJ8,1.93,37.65,28.7,90
SASDH64,1.36,0.0071,11.8,77
SASDH74,2.72,0.006598,22.81,135
SASDH84,2.14,0.01322,26.72,135
SASDH94,1.73,0.02128,27.59,135
SASDHA4,3.24,0.01068,69,135
SASDHB4,2.67,0.02908,50,154
SASDHC4,2.52,0.01727,47,135
SASDHD4,2.67,0.04973,50,135
SASDHE4,2.74,0.037,50.76,135
SASDJ47,3.97,0.030375,79,361
SASDJ57,4.24,0.0324,89,413
SASDFS7,3.28,3836.63,77,452
SASDFT7,3.35,3765.62,94,476
SASDFU7,3.02,3287.85,70.5,463
SASDGY6,2.5,20517.8,56,185
SASDGZ6,2.41,45063.9,60,185
SASDG27,2.45,80553.5,57,185
SASDNU3,4.312,0.0436496,84,405
SASDNV3,6.62,0.011141,NA,698
SASDNW3,7.1,0.177266,NA,405
SASDJF3,2.019,0.00444,52,326
SASDJG3,3.74,0.0279,265,543
SASDJH3,1.45,2.1027,20.5,151
SASDJJ3,1.315,0.001058,10,62
SASDHR5,4.31,69573.4,339,424
SASDHU5,5.32,108705,450,703
SASDJU9,2.12,0.0234296,28.76,163
SASDJV9,2.076,0.00922346,22.24,138
SASDJW9,5.735,0.198293,446,402
SASDJX9,5.026,0.174012,278.4,9
SASDJY9,4.754,0.168137,189.2,9
SASDJZ9,4.597,0.165227,151,347
SASDK22,5.48,0.17964,215.6,380
SASDK32,5.28,0.147162,362.2,467
SASDKJ4,3.37,445.291,92,85
SASDFZ7,5.1,1833.64,131,643
SASDF28,3.66,26.33,52,237
SASDF38,2.82,17.3,29,199
SASDF48,3.22,14.87,37,253
SASDHY5,NA,NA,NA,570
SASDHZ5,NA,NA,NA,556
SASDH26,NA,NA,NA,350
SASDH36,NA,NA,NA,181
SASDH66,NA,NA,NA,181
SASDH76,NA,NA,NA,350
SASDH86,NA,NA,NA,350
SASDH96,NA,NA,NA,350
SASDHA6,NA,NA,NA,181
SASDHB6,NA,NA,NA,181
SASDJY5,NA,NA,NA,556
SASDJZ5,NA,NA,NA,556
SASDJH8,3.34,0.01642,36,237
SASDJJ8,3.34,0.01815,36,237
SASDHP5,4.22,9158.69,280,323
SASDHC6,2.53,63.54,55,148
SASDHD6,2.5,214.6,62,162
SASDHE6,3.21,34.6,110,148
SASDHF6,3.29,636.1,157,162
SASDJU4,4.22,28.11,253,629
SASDJV4,3.79,42.86,240,609
SASDJX4,5.615,4777.5,1040,4119
SASDJY4,5.47,555,918,4119
SASDJR3,2.4,0.02251,64,271
SASDJT2,4.4,139957,295,1322
SASDJU2,5.5,433316,393,1322
SASDJV2,4.47,171829,292,1322
SASDC72,3.24,0.061,146,443
SASDCK3,2.68,0.18,74,465
SASDEA2,3.035,0.01059,102,123
SASDH59,3.251,0.0972,88,302
SASDH69,2.521,0.0274,48,302
SASDH79,3.279,0.137,93,302
SASDJ23,2.505,0.01736,69,302
SASDJR4,3.05,7.76,53,129
SASDJS4,2.08,8.6,28.9,84
SASDJC6,3.59,0.091,NA,467
SASDJD6,3.74,0.14,NA,477
SASDJS3,4.03,13851,94,550
SASDJT3,3.43,12258,85,439
SASDJU3,2.71,4605,45,310
SASDJQ6,4.06,38.3,198,981
SASDJR6,2.59,168.9,29,213
SASDJS6,3.45,38.72,41,30
SASDJT6,3.99,10.9,61,43
SASDJU6,3.25,6.36,34,322
SASDJV6,4.39,35.75,79,43
SASDJW6,3.65,3.63,38,327
SASDJX6,3.98,11.3,63,43
SASDJY6,3.37,7.72,32,322
SASDJZ6,2.48,5.48,20,223
SASDJ27,3.22,7.09,34,43
SASDJ37,3.29,6.91,34.5,213
SASDJA4,2.33,264.9,44.6,271
SASDJB4,2.66,185.6,57.8,343
SASDJC4,2.44,353.1,46.8,296
SASDJW5,2.93,0.02143,80,379
SASDHU9,4.727,284.85,99,682
SASDJ63,3.03,0.1362,89,404
SASDHJ4,1.76,13915,52,81
SASDHK4,1.91,13062,52,81
SASDHR8,4,56.75,97,573
SASDHS8,2.9,25.5,48,481
SASDHT8,4.62,72.3,290,481
SASDHU8,3.71,0.082,174,481
SASDJM2,3.34,0.172,54,381
SASDHT5,2.52,2.9,71,389
SASDHV5,3.81,8.47,252,504
SASDHW5,3.79,16.68,240,504
SASDHX5,3.76,33.39,240,504
SASDJE2,1.563,0.011,3.3,34
SASDJF2,1.868,0.031,22,45
SASDJG2,1.243,0.005048,2.6,20
SASDJH2,1.804,0.02682,22,45
SASDJJ2,1.755,0.02966,19.5,45
SASDJK2,1.774,0.02407,25,64
SASDJL2,2.087,0.03421,47,87
SASDHG9,2.46,10724.3,77,422
SASDHH9,2.43,10455.8,76,422
SASDHJ9,2.44,10818.9,76,422
SASDHK9,2.44,10936.8,73,422
SASDEY9,2.85,286.77,66.2,413
SASDEZ9,4.12,514.54,143,882
SASDHJ7,2.67,22.8,38,257
SASDHK7,1.81,2540.17,28,168
SASDJJ4,1.8,113.08,40,209
SASDLM9,2.216,14.8075,22,170
SASDLN9,3.23,64.9015,126,551
SASDLP9,3.73,70.0204,136,170
SASDHR4,2.69,3.07,66,305
SASDHW9,2.989,0.002705,77,465
SASDHX9,2.96,0.002722,75,465
SASDHY9,2.835,0.003095,64,374
SASDHP8,5.44,0.06681,623,1641
SASDHD9,5.68,3549650,350,787
SASDHE9,3.87,1674060,106,604
SASDHF9,2.4,1804710,47,284
SASDHH4,2.7,7.83,52,74
SASDG75,4.64,8.56E-04,529,201
SASDHV8,4.91,0.1276,267,704
SASDHW8,4.86,0.106,274,704
SASDHX8,4.64,0.1271,257.63,704
SASDHY8,5.03,0.1178,270,704
SASDHZ8,4.92,23812.9,239,704
SASDH29,4.87,0.1189,240,704
SASDHG4,2.387,0.02331,38,284
SASDH65,3.32,0.01186,76,400
SASDH95,2.64,0.01147,66,282
SASDHW2,2.94,0.0379,114,284
SASDFN6,3.171,9.42,NA,91
SASDFQ6,2.18,449.42,36,92
SASDFW7,2.26,22.71,77.4,490
SASDFX7,2.286,0.08527,77.8,504
SASDFY7,2.31,0.07715,79.3,508
SASDH92,3.16,0.04725,126,196
SASDG37,2.96,3331.04,115.57,304
SASDG47,4.56,3100.16,340,304
SASDG57,3.95,4538.44,160,304
SASDEX4,2.429,0.00477,29.5,104
SASDHN8,3.7,0.1326,97,177
SASDJ73,1.96,0.02185,26,188
SASDJ83,2.06,0.02213,29,188
SASDH99,5,0.09496,104,104
SASDHA9,4.63,0.04095,88,107
SASDHB9,5.7,0.02174,368,107
SASDHC9,2.95,0.027,43,75
SASDGG2,3.016,0.01059,40.6,304
SASDGH2,1.743,0.006122,21.7,169
SASDGJ2,1.889,0.006792,27.6,179
